talking_point,talking_point_label,initial_support,group_n,low_base_flag,response,count,pct_of_group
SHWA25,"Cost & housing supply (opposition frame)","Unsure",28,y,"Much more likely",0,0.0
SHWA25,"Cost & housing supply (opposition frame)","Unsure",28,y,"Somewhat more likely",2,7.1
SHWA25,"Cost & housing supply (opposition frame)","Unsure",28,y,"No difference",3,10.7
SHWA25,"Cost & housing supply (opposition frame)","Unsure",28,y,"Somewhat less likely",3,10.7
SHWA25,"Cost & housing supply (opposition frame)","Unsure",28,y,"Much less likely",0,0.0
SHWA25,"Cost & housing supply (opposition frame)","Unsure",28,y,"Unsure",20,71.4
SHWA26,"National consistency / WA holdout","Strongly support",389,,"Much more likely",209,53.7
SHWA26,"National consistency / WA holdout","Strongly support",389,,"Somewhat more likely",74,19.0
SHWA26,"National consistency / WA holdout","Strongly support",389,,"No difference",97,24.9
SHWA26,"National consistency / WA holdout","Strongly support",389,,"Somewhat less likely",3,0.8
SHWA26,"National consistency / WA holdout","Strongly support",389,,"Much less likely",2,0.5
SHWA26,"National consistency / WA holdout","Strongly support",389,,"Unsure",4,1.0
SHWA26,"National consistency / WA holdout","Somewhat support",209,,"Much more likely",24,11.5
SHWA26,"National consistency / WA holdout","Somewhat support",209,,"Somewhat more likely",66,31.6
SHWA26,"National consistency / WA holdout","Somewhat support",209,,"No difference",106,50.7
SHWA26,"National consistency / WA holdout","Somewhat support",209,,"Somewhat less likely",7,3.3
SHWA26,"National consistency / WA holdout","Somewhat support",209,,"Much less likely",2,1.0
SHWA26,"National consistency / WA holdout","Somewhat support",209,,"Unsure",4,1.9
SHWA26,"National consistency / WA holdout","Neither support nor oppose",68,,"Much more likely",1,1.5
SHWA26,"National consistency / WA holdout","Neither support nor oppose",68,,"Somewhat more likely",11,16.2
SHWA26,"National consistency / WA holdout","Neither support nor oppose",68,,"No difference",40,58.8
SHWA26,"National consistency / WA holdout","Neither support nor oppose",68,,"Somewhat less likely",12,17.6
SHWA26,"National consistency / WA holdout","Neither support nor oppose",68,,"Much less likely",2,2.9
SHWA26,"National consistency / WA holdout","Neither support nor oppose",68,,"Unsure",2,2.9
SHWA26,"National consistency / WA holdout","Somewhat oppose",40,y,"Much more likely",1,2.5
SHWA26,"National consistency / WA holdout","Somewhat oppose",40,y,"Somewhat more likely",5,12.5
SHWA26,"National consistency / WA holdout","Somewhat oppose",40,y,"No difference",20,50.0
SHWA26,"National consistency / WA holdout","Somewhat oppose",40,y,"Somewhat less likely",7,17.5
SHWA26,"National consistency / WA holdout","Somewhat oppose",40,y,"Much less likely",6,15.0
SHWA26,"National consistency / WA holdout","Somewhat oppose",40,y,"Unsure",1,2.5
SHWA26,"National consistency / WA holdout","Strongly oppose",28,y,"Much more likely",2,7.1
SHWA26,"National consistency / WA holdout","Strongly oppose",28,y,"Somewhat more likely",4,14.3
SHWA26,"National consistency / WA holdout","Strongly oppose",28,y,"No difference",8,28.6
SHWA26,"National consistency / WA holdout","Strongly oppose",28,y,"Somewhat less likely",1,3.6
SHWA26,"National consistency / WA holdout","Strongly oppose",28,y,"Much less likely",12,42.9
SHWA26,"National consistency / WA holdout","Strongly oppose",28,y,"Unsure",1,3.6
SHWA26,"National consistency / WA holdout","Unsure",28,y,"Much more likely",1,3.6
SHWA26,"National consistency / WA holdout","Unsure",28,y,"Somewhat more likely",3,10.7
SHWA26,"National consistency / WA holdout","Unsure",28,y,"No difference",3,10.7
SHWA26,"National consistency / WA holdout","Unsure",28,y,"Somewhat less likely",0,0.0
SHWA26,"National consistency / WA holdout","Unsure",28,y,"Much less likely",0,0.0
SHWA26,"National consistency / WA holdout","Unsure",28,y,"Unsure",21,75.0
